date,state,positive,negative,death,dataQualityGrade,totalTestResults,new_negatives,new_positives,new_tests,ratio_new_positives
20200526,WA,20065,310533,1070,B,330598,3768,237,4005,0.05917603
20200526,WI,15863,200874,517,A+,216737,7495,279,7774,0.03588886
20200526,WV,1854,85957,74,B,87811,1406,80,1486,0.053835801
20200526,WY,850,20652,13,C,21502,1101,12,1113,0.010781671
20200525,AK,409,44063,10,C,44472,964,1,965,0.001036269
20200525,AL,14730,175585,562,B,190315,4113,403,4516,0.089238264
20200525,AR,6029,105593,117,A,111622,2934,107,3041,0.035185794
20200525,AS,0,124,0,C,124,0,0,0,0
20200525,AZ,16561,171221,806,A+,187782,3919,222,4141,0.053610239
20200525,CA,94558,1549544,3795,B,1644102,59509,1848,61357,0.030118813
20200525,CO,24174,126134,1332,A,150308,47,210,257,0.817120623
20200525,CT,40873,180853,3742,B,221726,7185,405,7590,0.053359684
20200525,DC,8225,32578,440,A+,40803,-11447,259,-11188,-0.023149803
20200525,DE,8965,44931,332,B,53896,1870,156,2026,0.076999013
20200525,FL,51746,856489,2331,A,908235,36121,879,37000,0.023756757
20200525,GA,43344,470201,1830,A,513545,31085,506,31591,0.01601722
20200525,GU,166,5403,5,C,5569,0,0,0,0
20200525,HI,643,49728,17,C,50371,799,0,799,0
20200525,IA,17577,115138,459,A+,132715,4634,325,4959,0.065537407
20200525,ID,2626,38780,79,A,41406,0,0,0,0
20200525,IL,112017,657547,4884,A,769564,19930,1713,21643,0.079147992
20200525,IN,31715,194536,1976,A+,226251,5111,339,5450,0.062201835
20200525,KS,9218,72181,188,A+,81399,4705,260,4965,0.052366566
20200525,KY,8571,161285,391,A,169856,0,0,0,0
20200525,LA,37809,293089,2690,B,330898,14222,640,14862,0.043062845
20200525,MA,93271,447290,6416,A,540561,7592,596,8188,0.072789448
20200525,MD,47152,202425,2302,B,249577,8376,839,9215,0.091047206
20200525,ME,2074,35450,78,B,37524,0,19,19,1
20200525,MI,54881,417979,5240,A+,472860,21426,202,21628,0.009339745
20200525,MN,21315,182744,890,A,204059,5353,742,6095,0.12173913
20200525,MO,12167,145218,685,B,157385,5587,179,5766,0.031044051
20200525,MP,22,4735,2,D,4757,0,0,0,0
20200525,MS,13458,130459,635,A,143917,5809,206,6015,0.034247714
20200525,MT,479,33203,16,C,33682,301,0,301,0
20200525,NC,23964,320726,754,A,344690,7292,742,8034,0.092357481
20200525,ND,2457,63893,54,C,66350,823,39,862,0.045243619
20200525,NE,12134,73598,150,D,85732,2382,145,2527,0.057380293
20200525,NH,4149,57237,209,B,61386,1787,60,1847,0.032485111
20200525,NJ,155092,468705,11144,A+,623797,19052,938,19990,0.046923462
20200525,NM,6943,166538,317,C,173481,4214,148,4362,0.03392939
20200525,NV,7879,106852,394,A+,114731,4341,109,4450,0.024494382
20200525,NY,362764,1376685,23488,A,1739449,38374,1249,39623,0.031522096
20200525,OH,32477,297857,1987,B,330334,5215,566,5781,0.097906937
20200525,OK,6090,154943,313,A+,161033,0,53,53,1
20200525,OR,3949,109909,148,A+,113858,1641,22,1663,0.013229104
20200525,PA,68186,334928,5139,A,403114,6546,473,7019,0.067388517
20200525,PR,3260,0,129,B,3260,0,71,71,1
20200525,RI,14065,118636,608,A+,132701,0,0,0,0
20200525,SC,10178,155842,440,A+,166020,1991,82,2073,0.039556199
20200525,SD,4586,30697,50,C,35283,355,23,378,0.060846561
20200525,TN,20607,375612,338,B,396219,12181,462,12643,0.03654196
20200525,TX,55971,749683,1527,B,805654,41486,623,42109,0.014794937
20200525,UT,8521,187947,98,B,196468,1906,129,2035,0.063390663
20200525,VA,37727,221023,1208,A+,258750,13182,1483,14665,0.101125128
20200525,VI,69,1343,6,C,1412,0,0,0,0
20200525,VT,962,28707,54,B,29669,1073,6,1079,0.005560704
20200525,WA,19828,306765,1061,B,326593,10074,243,10317,0.023553359
20200525,WI,15584,193379,514,A+,208963,7173,307,7480,0.041042781
20200525,WV,1774,84551,72,B,86325,616,15,631,0.023771791
20200525,WY,838,19551,12,C,20389,330,25,355,0.070422535
20200524,AK,408,43099,10,C,43507,1156,0,1156,0
20200524,AL,14327,171472,551,B,185799,2734,389,3123,0.124559718
20200524,AR,5922,102659,116,A,108581,5224,310,5534,0.056017347
20200524,AS,0,124,0,C,124,0,0,0,0
20200524,AZ,16339,167302,800,A+,183641,2902,300,3202,0.093691443
20200524,CA,92710,1490035,3774,B,1582745,65360,2079,67439,0.030827859
20200524,CO,23964,126087,1327,A,150051,4622,477,5099,0.093547754
20200524,CT,40468,173668,3693,B,214136,5323,446,5769,0.077309759
20200524,DC,7966,44025,427,A+,51991,0,0,0,0
20200524,DE,8809,43061,326,B,51870,1217,119,1336,0.089071856
20200524,FL,50867,820368,2316,A,871235,14058,740,14798,0.050006758
20200524,GA,42838,439116,1824,A,481954,27711,706,28417,0.024844283
20200524,GU,166,5403,5,C,5569,209,1,210,0.004761905
20200524,HI,643,48929,17,C,49572,750,1,751,0.001331558
20200524,IA,17252,110504,454,A+,127756,3456,359,3815,0.094102228
20200524,ID,2626,38780,79,A,41406,766,31,797,0.038895859
20200524,IL,110304,637617,4856,A,747921,23166,2508,25674,0.097686375
